paper_id,publication_date,year_month,field,subfield,num_authors,institutions_distinct_count,countries_distinct_count,type,language,n_references,marker_count,marker_types,word_count,marker_rate,has_abstract,year,era,llm_flag,llm_flag_strict
https://openalex.org/W4407233844,2021-01-01,2021-01,Arts and Humanities,General Arts and Humanities,1,1,1,article,en,0,4,4,93,0.043010752688172046,1,2021,Pre-ChatGPT,0,0
https://openalex.org/W3159495683,2021-01-01,2021-01,Arts and Humanities,History and Philosophy of Science,1,1,1,article,en,0,8,5,311,0.02572347266881029,1,2021,Pre-ChatGPT,0,0
https://openalex.org/W4213137475,2021-01-01,2021-01,Arts and Humanities,Literature and Literary Theory,2,2,1,article,en,0,7,5,148,0.0472972972972973,1,2021,Pre-ChatGPT,0,0
https://openalex.org/W3163848551,2021-01-01,2021-01,Arts and Humanities,Literature and Literary Theory,6,6,1,article,en,17,11,8,145,0.07586206896551724,1,2021,Pre-ChatGPT,0,0
https://openalex.org/W4236344212,2021-01-01,2021-01,Arts and Humanities,Visual Arts and Performing Arts,1,1,1,article,en,0,8,7,205,0.03902439024390244,1,2021,Pre-ChatGPT,0,0
https://openalex.org/W4285525867,2021-01-01,2021-01,Arts and Humanities,Literature and Literary Theory,1,1,1,article,en,19,6,5,177,0.03389830508474576,1,2021,Pre-ChatGPT,0,0
https://openalex.org/W3124454939,2021-01-22,2021-01,Arts and Humanities,History and Philosophy of Science,1,1,1,article,en,2,9,9,165,0.05454545454545454,1,2021,Pre-ChatGPT,0,0
https://openalex.org/W3204185994,2021-01-01,2021-01,Arts and Humanities,History,1,1,0,article,en,0,7,6,154,0.045454545454545456,1,2021,Pre-ChatGPT,0,0
https://openalex.org/W4200456106,2021-01-01,2021-01,Arts and Humanities,Literature and Literary Theory,1,1,1,article,en,13,5,3,154,0.032467532467532464,1,2021,Pre-ChatGPT,0,0
https://openalex.org/W3162407848,2021-01-01,2021-01,Arts and Humanities,Music,1,1,0,article,en,4,0,0,0,0.0,1,2021,Pre-ChatGPT,0,0
https://openalex.org/W4206240913,2021-01-01,2021-01,Arts and Humanities,Conservation,1,1,0,article,en,0,1,1,47,0.02127659574468085,1,2021,Pre-ChatGPT,0,0
https://openalex.org/W3140832451,2021-01-01,2021-01,Arts and Humanities,Classics,1,1,1,article,en,1,4,4,145,0.027586206896551724,1,2021,Pre-ChatGPT,0,0
https://openalex.org/W3212012831,2021-01-01,2021-01,Arts and Humanities,Museology,1,1,0,article,en,0,10,9,230,0.043478260869565216,1,2021,Pre-ChatGPT,0,0
https://openalex.org/W4248759864,2021-01-01,2021-01,Arts and Humanities,Language and Linguistics,3,3,1,article,en,28,16,10,181,0.08839779005524862,1,2021,Pre-ChatGPT,1,0
https://openalex.org/W4206179862,2021-01-01,2021-01,Arts and Humanities,Language and Linguistics,1,1,1,article,en,0,0,0,17,0.0,1,2021,Pre-ChatGPT,0,0
https://openalex.org/W3170902675,2021-01-01,2021-01,Arts and Humanities,General Arts and Humanities,1,1,0,article,en,9,9,7,89,0.10112359550561797,1,2021,Pre-ChatGPT,1,0
https://openalex.org/W3176874594,2021-01-01,2021-01,Arts and Humanities,Classics,1,1,1,article,en,15,12,6,178,0.06741573033707865,1,2021,Pre-ChatGPT,0,0
https://openalex.org/W3125983300,2021-01-22,2021-01,Arts and Humanities,History,1,1,0,article,en,0,3,3,71,0.04225352112676056,1,2021,Pre-ChatGPT,0,0
https://openalex.org/W3205788672,2021-01-01,2021-01,Arts and Humanities,Language and Linguistics,1,1,0,article,en,0,2,1,41,0.04878048780487805,1,2021,Pre-ChatGPT,0,0
https://openalex.org/W4206081238,2021-01-01,2021-01,Arts and Humanities,Archeology,1,1,0,article,en,0,18,12,688,0.02616279069767442,1,2021,Pre-ChatGPT,0,0
https://openalex.org/W3136276015,2021-01-02,2021-01,Arts and Humanities,Visual Arts and Performing Arts,2,2,1,article,en,6,7,6,188,0.03723404255319149,1,2021,Pre-ChatGPT,0,0
https://openalex.org/W4205791204,2021-01-01,2021-01,Arts and Humanities,Religious studies,1,1,1,article,en,11,9,8,228,0.039473684210526314,1,2021,Pre-ChatGPT,0,0
https://openalex.org/W3216147264,2021-01-01,2021-01,Arts and Humanities,History,1,1,0,article,en,0,6,5,101,0.0594059405940594,1,2021,Pre-ChatGPT,0,0
https://openalex.org/W4210357523,2021-01-01,2021-01,Arts and Humanities,Literature and Literary Theory,1,1,0,article,en,0,34,28,700,0.04857142857142857,1,2021,Pre-ChatGPT,0,0
https://openalex.org/W4235638298,2021-01-01,2021-01,Arts and Humanities,Language and Linguistics,1,1,0,article,en,0,7,7,92,0.07608695652173914,1,2021,Pre-ChatGPT,0,0
https://openalex.org/W4287369150,2021-01-25,2021-01,Arts and Humanities,Philosophy,1,1,0,article,en,0,47,24,1705,0.02756598240469208,1,2021,Pre-ChatGPT,0,0
https://openalex.org/W3179950461,2021-01-01,2021-01,Arts and Humanities,Literature and Literary Theory,1,1,0,article,en,0,5,4,99,0.050505050505050504,1,2021,Pre-ChatGPT,0,0
https://openalex.org/W4394887586,2021-01-01,2021-01,Arts and Humanities,Philosophy,1,1,0,article,en,0,0,0,0,0.0,0,2021,Pre-ChatGPT,0,0
https://openalex.org/W4395700551,2021-01-01,2021-01,Arts and Humanities,Archeology,3,3,1,article,en,0,3,2,85,0.03529411764705882,1,2021,Pre-ChatGPT,0,0
https://openalex.org/W3207546553,2021-01-01,2021-01,Arts and Humanities,Philosophy,6,6,1,article,en,4,0,0,0,0.0,0,2021,Pre-ChatGPT,0,0
https://openalex.org/W3136067442,2021-01-02,2021-01,Arts and Humanities,History,1,1,1,article,en,0,6,5,151,0.039735099337748346,1,2021,Pre-ChatGPT,0,0
https://openalex.org/W3176411736,2021-01-01,2021-01,Arts and Humanities,History and Philosophy of Science,1,1,1,article,en,0,0,0,29,0.0,1,2021,Pre-ChatGPT,0,0
https://openalex.org/W3200380398,2021-01-01,2021-01,Arts and Humanities,Literature and Literary Theory,1,1,0,article,en,0,1,1,689,0.001451378809869376,1,2021,Pre-ChatGPT,0,0
https://openalex.org/W3164629551,2021-01-01,2021-01,Arts and Humanities,Language and Linguistics,1,1,0,article,en,30,8,6,66,0.12121212121212122,1,2021,Pre-ChatGPT,1,1
https://openalex.org/W3172697462,2021-01-01,2021-01,Arts and Humanities,Literature and Literary Theory,2,2,1,article,en,21,9,8,238,0.037815126050420166,1,2021,Pre-ChatGPT,0,0
https://openalex.org/W3119369925,2021-01-01,2021-01,Arts and Humanities,Visual Arts and Performing Arts,2,2,2,article,en,7,8,7,101,0.07920792079207921,1,2021,Pre-ChatGPT,0,0
https://openalex.org/W4243542228,2021-01-01,2021-01,Arts and Humanities,Literature and Literary Theory,2,2,0,article,en,0,22,16,695,0.031654676258992806,1,2021,Pre-ChatGPT,0,0
https://openalex.org/W4249569640,2021-01-01,2021-01,Arts and Humanities,Religious studies,1,1,0,article,en,0,0,0,3,0.0,1,2021,Pre-ChatGPT,0,0
https://openalex.org/W3124322331,2021-01-18,2021-01,Arts and Humanities,History and Philosophy of Science,1,1,1,article,en,0,2,1,29,0.06896551724137931,1,2021,Pre-ChatGPT,0,0
https://openalex.org/W3202689579,2021-01-01,2021-01,Arts and Humanities,Museology,1,1,0,article,en,13,12,9,154,0.07792207792207792,1,2021,Pre-ChatGPT,0,0
https://openalex.org/W3161261237,2021-01-01,2021-01,Arts and Humanities,Visual Arts and Performing Arts,1,1,0,article,en,0,0,0,51,0.0,1,2021,Pre-ChatGPT,0,0
https://openalex.org/W3205837359,2021-01-01,2021-01,Arts and Humanities,Language and Linguistics,2,2,0,article,en,5,16,6,264,0.06060606060606061,1,2021,Pre-ChatGPT,0,0
https://openalex.org/W4210478762,2021-01-01,2021-01,Arts and Humanities,Literature and Literary Theory,1,1,0,article,en,0,31,24,700,0.04428571428571428,1,2021,Pre-ChatGPT,0,0
https://openalex.org/W3119748272,2021-01-15,2021-01,Arts and Humanities,Literature and Literary Theory,4,4,1,article,en,44,7,6,98,0.07142857142857142,1,2021,Pre-ChatGPT,0,0
https://openalex.org/W4205611586,2021-01-01,2021-01,Arts and Humanities,Language and Linguistics,1,1,0,article,en,0,1,1,47,0.02127659574468085,1,2021,Pre-ChatGPT,0,0
